Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:14:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:41 PM  all   23.01    0.00   15.95    0.00    0.00   10.07    0.00    0.00    0.00   50.98
01:14:41 PM    0    9.28    0.00    7.22    0.00    0.00   60.82    0.00    0.00    0.00   22.68
01:14:41 PM    1   20.62    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   67.01
01:14:41 PM    2   23.40    0.00    8.51    0.00    0.00    9.57    0.00    0.00    0.00   58.51
01:14:41 PM    3   26.80    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   58.76
01:14:41 PM    4   26.80    0.00   26.80    0.00    0.00    0.00    0.00    0.00    0.00   46.39
01:14:41 PM    5   23.66    0.00   17.20    0.00    0.00    9.68    0.00    0.00    0.00   49.46
01:14:41 PM    6   29.47    0.00   17.89    0.00    0.00    0.00    0.00    0.00    0.00   52.63
01:14:41 PM    7   24.21    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   52.63

01:14:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:14:42 PM  all   24.58    0.00   16.82    0.00    0.00    8.80    0.00    0.00    0.00   49.81
01:14:42 PM    0    8.25    0.00    9.28    0.00    0.00   54.64    0.00    0.00    0.00   27.84
01:14:42 PM    1   16.49    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   76.29
01:14:42 PM    2   14.58    0.00    7.29    0.00    0.00    8.33    0.00    0.00    0.00   69.79
01:14:42 PM    3   13.13    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   80.81
01:14:42 PM    4   35.42    0.00   29.17    0.00    0.00    0.00    0.00    0.00    0.00   35.42
01:14:42 PM    5   37.50    0.00   26.04    0.00    0.00    7.29    0.00    0.00    0.00   29.17
01:14:42 PM    6   38.14    0.00   21.65    0.00    0.00    0.00    0.00    0.00    0.00   40.21
01:14:42 PM    7   33.68    0.00   28.42    0.00    0.00    0.00    0.00    0.00    0.00   37.89

